index,x,y_elevation,z,cumulative_length_m
371,-151.09527587890625,-5.306102275848389,-169.9093475341797,586.6295776367188
372,-150.95994567871094,-5.3006157875061035,-171.47877502441406,588.2048950195312
373,-150.82540893554688,-5.294541358947754,-173.04269409179688,589.774658203125
374,-150.69171142578125,-5.287373065948486,-174.599365234375,591.3370971679688
375,-150.55882263183594,-5.28001070022583,-176.1486358642578,592.8921508789062
376,-150.42684936523438,-5.273066997528076,-177.6907196044922,594.43994140625
377,-150.2953338623047,-5.266504764556885,-179.2254638671875,595.9804077148438
378,-150.1646728515625,-5.259402275085449,-180.75291442871094,597.5134887695312
379,-150.03518676757812,-5.251955032348633,-182.27313232421875,599.039306640625
380,-149.90643310546875,-5.24285888671875,-183.78607177734375,600.5578002929688
381,-149.7783660888672,-5.234910011291504,-185.2920684814453,602.0692749023438
382,-149.65138244628906,-5.2262725830078125,-186.79122924804688,603.5738525390625
383,-149.51609802246094,-5.218939304351807,-188.38958740234375,605.177978515625
